A,E
62.677272,103.117   	
62.578887,103.841   	
62.480539,104.568   	
62.382227,105.296   	
62.283951,106.027   	
62.185711,106.759   	
62.087509,107.494   	
61.989343,108.231   	
61.891213,108.969   	
61.793121,109.71    	
61.695065,110.452   	
61.597046,111.196   	
61.499065,111.943   	
61.401120,112.691   	
61.303212,113.441   	
61.205342,114.194   	
61.107509,114.948   	
61.009713,115.704   	
60.911955,116.462   	
60.814234,117.222   	
60.716551,117.983   	
60.618905,118.747   	
60.521297,119.512   	
60.423727,120.28    	
60.326194,121.049   	
60.228700,121.82    	
60.131243,122.593   	
60.033824,123.368   	
59.936444,124.144   	
59.839101,124.922   	
59.741796,125.703   	
59.644530,126.485   	
59.547302,127.269   	
59.450112,128.054   	
59.352961,128.841   	
59.255848,129.631   	
59.158774,130.422   	
59.061738,131.214   	
58.964741,132.009   	
58.867782,132.805   	
58.770862,133.603   	
58.673981,134.402   	
58.577139,135.204   	
58.480336,136.007   	
58.383571,136.812   	
58.286846,137.618   	
58.190159,138.426   	
58.093512,139.236   	
57.996904,140.048   	
57.900335,140.861   	
57.803805,141.676   	
57.707314,142.492   	
57.610863,143.31    	
57.514451,144.13    	
57.418078,144.951   	
57.321745,145.774   	
57.225452,146.599   	
57.129198,147.425   	
57.032983,148.253   	
56.936809,149.083   	
56.840673,149.913   	
56.744578,150.746   	
56.648522,151.58    	
56.552507,152.416   	
56.456531,153.253   	
56.360594,154.092   	
56.264698,154.932   	
56.168842,155.774   	
56.073026,156.617   	
55.977250,157.462   	
55.881513,158.308   	
55.785817,159.156   	
55.690161,160.005   	
55.594546,160.856   	
55.498970,161.708   	
55.403435,162.562   	
55.307940,163.417   	
55.212485,164.273   	
55.117071,165.131   	
55.021697,165.99    	
54.926364,166.851   	
54.831071,167.713   	
54.735818,168.577   	
54.640606,169.442   	
54.545435,170.308   	
54.450304,171.176   	
54.355213,172.045   	
54.260164,172.915   	
54.165155,173.787   	
54.070186,174.66    	
53.975259,175.534   	
53.880372,176.41    	
53.785526,177.287   	
53.690720,178.165   	
53.595956,179.045   	
53.501232,179.925   	
53.406549,180.808   	
53.311907,181.691   	
53.217306,182.576   	
53.122746,183.461   	
53.028227,184.349   	
52.933749,185.237   	
52.839312,186.126   	
52.744916,187.017   	
52.650560,187.909   	
52.556246,188.802   	
52.461973,189.697   	
52.367741,190.592   	
52.273551,191.489   	
52.179401,192.387   	
52.085292,193.286   	
51.991225,194.186   	
51.897199,195.087   	
51.803214,195.99    	
51.709270,196.893   	
51.615368,197.798   	
51.521506,198.703   	
51.427686,199.61    	
51.333907,200.518   	
51.240170,201.427   	
51.146474,202.337   	
51.052819,203.248   	
50.959205,204.16    	
50.865633,205.073   	
50.772102,205.987   	
50.678612,206.903   	
50.585164,207.819   	
50.491757,208.736   	
50.398391,209.654   	
50.305067,210.573   	
50.211784,211.493   	
50.118543,212.414   	
50.025343,213.336   	
49.932184,214.259   	
49.839067,215.183   	
49.745991,216.108   	
49.652956,217.034   	
49.559963,217.96    	
49.467012,218.888   	
49.374102,219.816   	
49.281233,220.745   	
49.188406,221.676   	
49.095620,222.607   	
49.002875,223.538   	
48.910172,224.471   	
48.817511,225.405   	
48.724890,226.339   	
48.632312,227.274   	
48.539774,228.21    	
48.447278,229.147   	
48.354824,230.084   	
48.262411,231.023   	
48.170039,231.962   	
48.077709,232.902   	
47.985420,233.842   	
47.893173,234.784   	
47.800967,235.726   	
47.708802,236.669   	
47.616679,237.612   	
47.524597,238.556   	
47.432557,239.501   	
47.340558,240.447   	
47.248600,241.393   	
47.156683,242.34    	
47.064808,243.287   	
46.972975,244.236   	
46.881182,245.185   	
46.789431,246.134   	
46.697722,247.084   	
46.606053,248.035   	
46.514426,248.986   	
46.422840,249.938   	
46.331296,250.891   	
46.239792,251.844   	
46.148330,252.797   	
46.056909,253.751   	
45.965529,254.706   	
45.874191,255.661   	
45.782894,256.617   	
45.691638,257.573   	
45.600423,258.53    	
45.509249,259.487   	
45.418116,260.445   	
45.327024,261.403   	
45.235974,262.362   	
45.144964,263.321   	
45.053996,264.281   	
44.963069,265.241   	
44.872182,266.201   	
44.781337,267.162   	
44.690533,268.124   	
44.599769,269.085   	
44.509047,270.047   	
44.418365,271.01    	
44.327725,271.973   	
44.237125,272.936   	
44.146566,273.9     	
44.056048,274.863   	
43.965571,275.828   	
43.875134,276.792   	
43.784738,277.757   	
43.694383,278.722   	
43.604069,279.688   	
43.513796,280.654   	
43.423563,281.62    	
43.333371,282.586   	
43.243219,283.553   	
43.153108,284.519   	
43.063037,285.487   	
42.973007,286.454   	
42.883018,287.421   	
42.793069,288.389   	
42.703161,289.357   	
42.613293,290.325   	
42.523465,291.293   	
42.433678,292.262   	
42.343931,293.231   	
42.254224,294.199   	
42.164558,295.168   	
42.074932,296.137   	
41.985346,297.107   	
41.895800,298.076   	
41.806294,299.045   	
41.716829,300.015   	
41.627404,300.984   	
41.538018,301.954   	
41.448673,302.924   	
41.359368,303.894   	
41.270103,304.864   	
41.180877,305.833   	
41.091692,306.803   	
41.002546,307.773   	
40.913441,308.743   	
40.824375,309.713   	
40.735348,310.683   	
40.646362,311.653   	
40.557415,312.623   	
40.468508,313.593   	
40.379640,314.563   	
40.290812,315.532   	
40.202024,316.502   	
40.113275,317.472   	
40.024565,318.441   	
39.935895,319.41    	
39.847264,320.38    	
39.758673,321.349   	
39.670121,322.318   	
39.581608,323.287   	
39.493134,324.256   	
39.404700,325.224   	
39.316304,326.193   	
39.227948,327.161   	
39.139631,328.129   	
39.051353,329.097   	
38.963114,330.065   	
38.874913,331.033   	
38.786752,332       	
38.698629,332.967   	
38.610546,333.934   	
38.522501,334.9     	
38.434494,335.867   	
38.346527,336.833   	
38.258598,337.799   	
38.170707,338.764   	
38.082855,339.729   	
37.995042,340.694   	
37.907267,341.659   	
37.819530,342.623   	
37.731832,343.587   	
37.644172,344.55    	
37.556550,345.514   	
37.468966,346.477   	
37.381421,347.439   	
37.293914,348.401   	
37.206445,349.363   	
37.119013,350.324   	
37.031620,351.285   	
36.944265,352.246   	
36.856947,353.206   	
36.769667,354.165   	
36.682426,355.124   	
36.595221,356.083   	
36.508055,357.041   	
36.420926,357.999   	
36.333834,358.956   	
36.246780,359.913   	
36.159764,360.869   	
36.072785,361.825   	
35.985843,362.78    	
35.898939,363.735   	
35.812072,364.689   	
35.725242,365.643   	
35.638449,366.596   	
35.551693,367.548   	
35.464974,368.5     	
35.378293,369.452   	
35.291648,370.402   	
35.205040,371.352   	
35.118469,372.302   	
35.031934,373.251   	
34.945436,374.199   	
34.858975,375.147   	
34.772551,376.093   	
34.686163,377.04    	
34.599811,377.985   	
34.513496,378.93    	
34.427218,379.874   	
34.340975,380.818   	
34.254769,381.761   	
34.168599,382.703   	
34.082465,383.644   	
33.996367,384.585   	
33.910306,385.525   	
33.824280,386.464   	
33.738290,387.402   	
33.652336,388.339   	
33.566417,389.276   	
33.480535,390.212   	
33.394688,391.147   	
33.308876,392.082   	
33.223100,393.015   	
33.137360,393.948   	
33.051655,394.88    	
32.965985,395.811   	
32.880351,396.741   	
32.794752,397.67    	
32.709188,398.599   	
32.623659,399.526   	
32.538165,400.453   	
32.452707,401.378   	
32.367283,402.303   	
32.281894,403.227   	
32.196539,404.15    	
32.111220,405.072   	
32.025935,405.993   	
31.940685,406.913   	
31.855469,407.832   	
31.770287,408.751   	
31.685141,409.668   	
31.600028,410.584   	
31.514950,411.499   	
31.429906,412.413   	
31.344896,413.326   	
31.259920,414.238   	
31.174978,415.149   	
31.090070,416.059   	
31.005196,416.968   	
30.920356,417.876   	
30.835549,418.783   	
30.750776,419.689   	
30.666037,420.593   	
30.581331,421.497   	
30.496659,422.399   	
30.412020,423.3     	
30.327415,424.201   	
30.242843,425.1     	
30.158304,425.997   	
30.073798,426.894   	
29.989325,427.79    	
29.904885,428.684   	
29.820478,429.577   	
29.736104,430.469   	
29.651763,431.36    	
29.567455,432.249   	
29.483179,433.138   	
29.398935,434.025   	
29.314725,434.911   	
29.230546,435.795   	
29.146400,436.679   	
29.062287,437.561   	
28.978205,438.442   	
28.894156,439.321   	
28.810139,440.2     	
28.726153,441.077   	
28.642200,441.952   	
28.558279,442.827   	
28.474389,443.7     	
28.390531,444.571   	
28.306705,445.442   	
28.222910,446.311   	
28.139147,447.178   	
28.055415,448.045   	
27.971715,448.91    	
27.888046,449.773   	
27.804408,450.635   	
27.720801,451.496   	
27.637225,452.355   	
27.553681,453.213   	
27.470167,454.07    	
27.386684,454.925   	
27.303232,455.779   	
27.219810,456.631   	
27.136419,457.481   	
27.053059,458.331   	
26.969729,459.178   	
26.886429,460.025   	
26.803160,460.869   	
26.719921,461.713   	
26.636712,462.554   	
26.553534,463.395   	
26.470385,464.233   	
26.387266,465.071   	
26.304177,465.906   	
26.221118,466.74    	
26.138089,467.573   	
26.055089,468.404   	
25.972119,469.233   	
25.889178,470.061   	
25.806267,470.887   	
25.723385,471.712   	
25.640532,472.535   	
25.557708,473.356   	
25.474914,474.176   	
25.392148,474.994   	
25.309411,475.811   	
25.226704,476.626   	
25.144025,477.439   	
25.061374,478.25    	
24.978753,479.06    	
24.896159,479.868   	
24.813595,480.675   	
24.731058,481.48    	
24.648550,482.283   	
24.566070,483.084   	
24.483619,483.884   	
24.401195,484.682   	
24.318799,485.478   	
24.236432,486.272   	
24.154092,487.065   	
24.071780,487.856   	
23.989495,488.645   	
23.907238,489.432   	
23.825009,490.218   	
23.742807,491.002   	
23.660632,491.784   	
23.578484,492.564   	
23.496364,493.342   	
23.414271,494.119   	
23.332205,494.894   	
23.250165,495.667   	
23.168153,496.438   	
23.086167,497.207   	
23.004208,497.974   	
22.922276,498.74    	
22.840370,499.503   	
22.758491,500.265   	
22.676638,501.025   	
22.594811,501.783   	
22.513010,502.539   	
22.431236,503.293   	
22.349487,504.045   	
22.267765,504.795   	
22.186068,505.544   	
22.104397,506.29    	
22.022752,507.034   	
21.941133,507.777   	
21.859539,508.517   	
21.777970,509.256   	
21.696427,509.992   	
21.614909,510.727   	
21.533416,511.46    	
21.451948,512.19    	
21.370505,512.919   	
21.289088,513.645   	
21.207695,514.37    	
21.126327,515.092   	
21.044983,515.813   	
20.963664,516.531   	
20.882370,517.248   	
20.801100,517.962   	
20.719855,518.674   	
20.638633,519.384   	
20.557436,520.092   	
20.476263,520.799   	
20.395114,521.502   	
20.313989,522.204   	
20.232888,522.904   	
20.151810,523.602   	
20.070756,524.297   	
19.989726,524.99    	
19.908719,525.682   	
19.827736,526.371   	
19.746775,527.058   	
19.665839,527.742   	
19.584925,528.425   	
19.504034,529.105   	
19.423166,529.784   	
19.342322,530.46    	
19.261500,531.134   	
19.180700,531.805   	
19.099923,532.475   	
19.019169,533.142   	
18.938438,533.807   	
18.857728,534.47    	
18.777041,535.131   	
18.696376,535.789   	
18.615733,536.445   	
18.535113,537.099   	
18.454514,537.751   	
18.373937,538.4     	
18.293382,539.047   	
18.212848,539.692   	
18.132336,540.335   	
18.051845,540.975   	
17.971376,541.613   	
17.890928,542.249   	
17.810502,542.882   	
17.730096,543.513   	
17.649712,544.142   	
17.569348,544.769   	
17.489006,545.393   	
17.408684,546.015   	
17.328383,546.634   	
17.248102,547.251   	
17.167842,547.866   	
17.087602,548.478   	
17.007383,549.088   	
16.927184,549.696   	
16.847005,550.301   	
16.766846,550.904   	
16.686708,551.504   	
16.606589,552.103   	
16.526489,552.698   	
16.446410,553.291   	
16.366350,553.882   	
16.286310,554.471   	
16.206289,555.057   	
16.126288,555.64    	
16.046305,556.222   	
15.966342,556.8     	
15.886398,557.377   	
15.806473,557.95    	
15.726567,558.522   	
15.646680,559.091   	
15.566811,559.657   	
15.486961,560.221   	
15.407130,560.782   	
15.327317,561.341   	
15.247522,561.898   	
15.167746,562.452   	
15.087988,563.003   	
15.008248,563.552   	
14.928526,564.099   	
14.848822,564.643   	
14.769135,565.184   	
14.689467,565.723   	
14.609816,566.259   	
14.530182,566.793   	
14.450566,567.324   	
14.370968,567.853   	
14.291386,568.379   	
14.211822,568.903   	
14.132275,569.424   	
14.052745,569.942   	
13.973232,570.458   	
13.893736,570.971   	
13.814256,571.482   	
13.734793,571.99    	
13.655346,572.496   	
13.575916,572.998   	
13.496503,573.499   	
13.417105,573.996   	
13.337724,574.491   	
13.258359,574.984   	
13.179009,575.474   	
13.099676,575.961   	
13.020359,576.445   	
12.941057,576.927   	
12.861771,577.407   	
12.782500,577.883   	
12.703245,578.357   	
12.624005,578.828   	
12.544780,579.297   	
12.465571,579.763   	
12.386376,580.226   	
12.307197,580.687   	
12.228032,581.145   	
12.148883,581.6     	
12.069748,582.052   	
11.990627,582.502   	
11.911521,582.949   	
11.832430,583.394   	
11.753352,583.835   	
11.674289,584.274   	
11.595240,584.711   	
11.516206,585.144   	
11.437185,585.575   	
11.358178,586.003   	
11.279185,586.428   	
11.200205,586.851   	
11.121239,587.271   	
11.042286,587.688   	
10.963347,588.102   	
10.884422,588.514   	
10.805509,588.923   	
10.726609,589.329   	
10.647723,589.732   	
10.568849,590.133   	
10.489989,590.531   	
10.411141,590.926   	
10.332305,591.318   	
10.253483,591.707   	
10.174672,592.094   	
10.095874,592.478   	
10.017089,592.859   	
9.938315,593.237   	
9.859554,593.612   	
9.780804,593.985   	
9.702067,594.355   	
9.623341,594.721   	
9.544627,595.086   	
9.465924,595.447   	
9.387234,595.805   	
9.308554,596.161   	
9.229886,596.514   	
9.151229,596.864   	
9.072583,597.211   	
8.993949,597.555   	
8.915325,597.897   	
8.836712,598.235   	
8.758110,598.571   	
8.679518,598.904   	
8.600938,599.234   	
8.522367,599.561   	
8.443807,599.885   	
8.365257,600.207   	
8.286718,600.525   	
8.208189,600.841   	
8.129669,601.153   	
8.051160,601.463   	
7.972660,601.77    	
7.894170,602.074   	
7.815690,602.375   	
7.737219,602.674   	
7.658758,602.969   	
7.580306,603.262   	
7.501863,603.551   	
7.423430,603.838   	
7.345005,604.122   	
7.266590,604.402   	
7.188183,604.68    	
7.109786,604.955   	
7.031396,605.227   	
6.953016,605.497   	
6.874644,605.763   	
6.796280,606.026   	
6.717925,606.286   	
6.639578,606.544   	
6.561239,606.798   	
6.482908,607.05    	
6.404585,607.298   	
6.326270,607.544   	
6.247962,607.787   	
6.169663,608.026   	
6.091370,608.263   	
6.013086,608.497   	
5.934808,608.728   	
5.856538,608.956   	
5.778275,609.181   	
5.700019,609.403   	
5.621770,609.622   	
5.543528,609.838   	
5.465293,610.051   	
5.387064,610.261   	
5.308842,610.468   	
5.230627,610.672   	
5.152418,610.873   	
5.074215,611.072   	
4.996018,611.267   	
4.917828,611.459   	
4.839643,611.648   	
4.761465,611.834   	
4.683292,612.018   	
4.605125,612.198   	
4.526964,612.375   	
4.448808,612.55    	
4.370658,612.721   	
4.292513,612.889   	
4.214374,613.054   	
4.136239,613.217   	
4.058110,613.376   	
3.979985,613.532   	
3.901866,613.685   	
3.823751,613.836   	
3.745641,613.983   	
3.667536,614.127   	
3.589435,614.268   	
3.511338,614.406   	
3.433246,614.541   	
3.355158,614.674   	
3.277074,614.803   	
3.198994,614.929   	
3.120918,615.052   	
3.042846,615.172   	
2.964778,615.289   	
2.886713,615.403   	
2.808652,615.514   	
2.730594,615.622   	
2.652539,615.727   	
2.574488,615.829   	
2.496440,615.928   	
2.418395,616.023   	
2.340353,616.116   	
2.262314,616.206   	
2.184278,616.293   	
2.106244,616.376   	
2.028213,616.457   	
1.950185,616.535   	
1.872159,616.609   	
1.794135,616.681   	
1.716113,616.749   	
1.638093,616.815   	
1.560076,616.877   	
1.482060,616.937   	
1.404046,616.993   	
1.326034,617.046   	
1.248024,617.096   	
1.170015,617.144   	
1.092008,617.188   	
1.014001,617.229   	
0.935996,617.267   	
0.857993,617.302   	
0.779990,617.334   	
0.701988,617.363   	
0.623987,617.389   	
0.545987,617.412   	
0.467988,617.432   	
0.389989,617.448   	
0.311991,617.462   	
0.233993,617.473   	
0.155995,617.48    	
0.077997,617.485   	
0.000000,617.486
