"CS(q), created by Plot Digitizer, 2.6.6"
"Date: 11/25/14, 4:23:42 AM"


13
q,CS,
1.47436,0.264553,
1.54236,0.192454,
1.64882,0.153916,
1.75233,0.133265,
1.84401,0.108303,
1.93419,0.0787659,
2.01549,0.0546271,
2.10122,0.0349943,
2.19285,0.0191268,
2.29925,0.00798103,
2.35539,0.00487676,
2.42780,0.00262414,
2.47360,0.00170876,
