"Ay(q), created by Plot Digitizer, 2.6.6"
"Date: 11/24/14, 11:01:32 PM"


50
q,Ay,
0.0728370,-0.0258686,
0.0903410,-0.0158830,
0.109786,0.00404358,
0.125332,0.0438299,
0.144768,0.0836273,
0.156431,0.103532,
0.170040,0.123441,
0.201158,0.143402,
0.242004,0.158422,
0.290632,0.173464,
0.348982,0.198470,
0.397608,0.218480,
0.471517,0.253466,
0.570705,0.313363,
0.708794,0.388274,
0.821593,0.463113,
0.912998,0.527956,
1.00635,0.597771,
1.09969,0.672555,
1.17165,0.727406,
1.24166,0.782251,
1.29223,0.802267,
1.32724,0.812303,
1.36225,0.822339,
1.39533,0.802563,
1.44398,0.772896,
1.48291,0.728298,
1.54325,0.639052,
1.60360,0.544838,
1.65811,0.455576,
1.73985,0.376326,
1.79434,0.341708,
1.84882,0.321994,
1.89745,0.322133,
1.94997,0.332219,
2.00637,0.362187,
2.07444,0.421995,
2.12499,0.471817,
2.17555,0.531574,
2.22221,0.581385,
2.27084,0.601395,
2.31558,0.621394,
2.35642,0.646350,
2.40114,0.701123,
2.44196,0.765820,
2.48667,0.855367,
2.52555,0.900188,
2.55473,0.920143,
2.58390,0.930162,
2.59557,0.930195,
