"CS(q), created by Plot Digitizer, 2.6.6"
"Date: 11/25/14, 1:12:18 AM"


34
q,CS,
0.0998317,1247.27,
0.111593,640.419,
0.135195,361.621,
0.164737,254.970,
0.182488,263.134,
0.212071,271.520,
0.244614,289.198,
0.309681,271.197,
0.398408,246.301,
0.490073,184.901,
0.563994,143.313,
0.640866,104.244,
0.708860,73.4656,
0.791651,55.1572,
0.880328,31.1205,
0.942407,21.9335,
1.04880,9.59839,
1.12268,5.08341,
1.19361,2.69233,
1.26453,1.42594,
1.35022,0.644292,
1.44183,0.291094,
1.51574,0.192517,
1.69315,0.108503,
1.81735,0.0788783,
1.94153,0.0459194,
2.05387,0.0275981,
2.14255,0.0165916,
2.23419,0.00966271,
2.29623,0.00480346,
2.39673,0.00238674,
2.49131,0.00118601,
2.54747,0.000809839,
2.59180,0.000553061,
