"CS(q), created by Plot Digitizer, 2.6.6"
"Date: 11/25/14, 4:06:27 AM"


13
q,CS,
1.47286,0.205239,
1.54527,0.123412,
1.65907,0.0575402,
1.76846,0.0345836,
1.85567,0.0221540,
1.92219,0.0171727,
2.00646,0.0122935,
2.10403,0.00839011,
2.18829,0.00591170,
2.29324,0.00344233,
2.35237,0.00271125,
2.42481,0.00197224,
2.47064,0.00165544,











